hindi,phon
सिरतोड़,s i rr t o rr
सिरदर्द,s i r d a r d
सिर-माथे,s i r m aa th e
सिरहाना,s i r h aa n aa
सिरा,s i r aa
सिर्फ़,s i r f
सिल,s i l
सिलना,s i l n aa
सिलबट्टा,s i l b a tt tt aa
सिलबट,s i l v a tt
सिलसिला,s i l s i l aa
सिलवाना,s i l v aa n aa
सिलाई,s i l E
सिलाना,s i l aa n aa
सिल्क,s i l k
सिल्ली,s i l l ii
सिवाय,s i v aa y
सिविल,s i v i l
सिसकना,s i s a k n aa
सिसकी,s i s k ii
सिहरन,s i h a r a n
सी,s ii
सीख,s i kh
सीख़,s ii x
सीखना,s ii kh n aa
सीज़न,s ii z a n
सीट,s ii tt
सीटी,s ii tt ii
सीढ़ी,s ii rrh ii
सीध,s ii dh
सीधा,s ii dh aa
सीधा-सादा,s ii dh aa s aa d aa
सीधे,s ii dh e
सीना,s ii n aa
सीना,s ii n a
सीनाज़ोरी,s ii n aa z o r ii
सीनियर,s ii n i y a r
सीप,s ii p
सीमा,s ii m aa
सीमित,s ii m i t
सीमेंट,s ii m e n t
सील,s ii l
सीलन,s ii l a n
सीसा,s ii s aa
सुँघाना,s u ~ gh aa n aa
सुंदर,s u n d a r
सुंदरता,s u n d a r t aa
सुंदरी,s u n d r ii
सु-,s u 
सुअर,s u a r
सुअवसर,s u a v s a r
सुआ,s u aa
सुई,s u ii
सुख,s u kh
सुखद,s u kh a d
सुखाना,s u kh aa n aa
सुखी,s u kh ii
सुगंध,s u g a n dh
सुगंधित,s u g a n dh i t
सुगठित,s u g a tth i t
सुगम,s u g a m
सुगमता,s u g a m t aa
सुघड़,s u gh a rr
सुचारु,s u c aa r u
सुझाना,s u jh aa n aa
सुझाव,s u jh aa v
सुडौल,s u dd O l
सुतली,s u t l ii
सुथरा,s u th r aa
सुदी,s u d ii
सुदूर,s u d uu r
सुध,s u dh
सुध-बुध,s u dh b u dh
सुधरना,s u dh a r n aa
सुधार,s u dh aa r
सुधारक,s u dh aa r a k
सुधारना,s u dh aa r n aa
सुनना,s u n n aa
सुननेवाला,s u n n e v aa l aa
सुनवाई,s u n v E
सुनसान,s u n s aa n
सुनहरा,s u n a h r aa
मुनाई,s u n E
सुनाना,s u n aa n aa
सुनार,s u n aa r
सुन्न,s u n n a
सुपाच्य,s u p aa c y a
सुपाठ्य,s u p aa tth y a
सुपारी,s u p aa r ii
सुपुर्द,s u p u r d
सुप्रसिद्ध,s u p r a s i d dh a
सुबह,s u b a h
सुबह-शाम,s u b a h sh aa m
सुभीता,s u bh ii t aa
सुमधुर,s u m a dh u r
सुयश,s u y a sh
सुयोग,s u y o g
सुयोग्य,s u y o g y a
सुरंग,s u r a ng g
सुर,s u r
सुरक्षा,s u r a k sh aa
सुरक्षित,s u r a k sh i t
सुरमा,s u r m aa
सुरसुराना,s u r s u r aa n aa
सुराही,s u r aa h ii
सुरीला,s u r ii l aa
सुरुचि,s u r u c i
सुर्ख़,s u r x
सुख़ो,s u r x ii
सुलगना,s u l a g n aa
सुलगाना,s u l g aa n aa
सुलझना,s u l a jh n aa
सुलझाना,s u l jh aa n aa
सुलझाव,s u l jh aa v
सुलभ,s u l a bh
सुलह,s u l a h
सुलाना,s u l aa n aa
सुविख्यात,s u v i kh y aa t
सुविधा,s u v i dh aa
सुविधाजनक,s u v i dh aa j a n a k
सुविधापूर्ण,s u v i dh aa p uu r n a
सुशील,s u sh ii l
सुशोभित,s u sh o bh i t
सुसंगठित,s u s a ng g a tth i t
सुसंस्कृत,s u s a n s k r i t
सुसज्जित,s u s a j j i t
सुस्त,s u s t a
सुस्ताना,s u s t aa n aa
सुस्ती,s u s t ii
सुस्पष्ट,s u s p a sh tt a
सुहाग,s u h aa g
सुहागिन,s u h aa g i n
सुहावना,s u h aa v n aa
सूअर,s uu a r
सूई,s uu ii
सूक्ष्म,s uu k sh m a
सूक्ष्मता,s uu k sh m a t aa
सूक्ष्मदर्शी,s uu k sh m a d a r sh ii
सूखना,s uu kh n aa
सूखा,s uu kh aa
सूचना,s uu c n aa
सूचित,s uu c i t
सूची,s uu c ii
सूची-पत्र,s uu c ii p a t r a
सूजन,s uu j a n
सूजना,s uu j n aa
सूझ,s uu jh
सूझना,s uu jh n aa
सूझ-बूझ,s uu jh b uu jh
सूट,s u tt
सूट,s uu tt
सूटकेस,s uu tt k e s
सूत,s uu t
सूत,s uu t
सूती,s uu t ii
सूत्र,s uu t r a
सूत्रपात,s uu t r a p aa t
सूद,s uu d
सूद-दर-सूद,s uu d d a r s uu d
सूना,s uu n aa
सूनापन,s uu n aa p a n
सूप,s uu p
सूरज,s uu r a j
सूरजमुखी,s uu r a j m u kh ii
सूरत,s uu r a t
सूराख,s uu r aa x
सूर्य,s uu r y a
सूली,s uu l ii
सृजन,s r i j a n
सृष्टि,s r i sh tt i
सेंट,s e n tt
सेंट,s e n tt
सेंटीग्राम,s e n tt ii g r a m
सेंटीग्रेड,s e n tt ii g r e dd
सेंटीमीटर,s e n tt ii m i tt a r
सेंत,s e n t
सेंध,s e n dh
सेंधमार,s e n dh m aa r
सेंसर,s e n s a r
से,s e
सेकंड,s e k a n dd
सेक्टर,s e k tt a r
सेक्रेटरी,s e k r e tt a r ii
सेज,s e j
सेट,s e t
सेठ,s e tth
सेना,s e n aa
सेना,s e n aa
सेनापति,s e n aa p a t i
सेफ़,s e f
सेब,s e b
सेम,s e m
सेर,s e r
सेवईं,s e v Ei
सेवक,s e v a k
सेवन,s e v a n
सेवा,s e v aa
सेशन,s e sh a n
सेहत,s e h a t
सेहना,s e h n aa
सेहरा,s e h r aa
सैकंड,s E k a n dd
सैकंड,s E k a n d
सैकंडरी,s E k a n dd a r ii
सैकड़ा,s E k rr aa
सैद्धांतिक,s E d dh aa n t i k
सैनिक,s E n i k
सैर,s E r
सैलानी,s E l aa n ii
सो,s o
सोखना,s o kh n aa
सोख्त़ा,s o x t aa
सोच,s o c
सोचना,s o c ng aa
सोच-विचार,s o c v i c aa r
सोडा,s o dd aa
सोता,s o t aa
सोता,s o t aa
सोना,s o n aa
सोना,s o n aa
सोफ़ा,s o f aa
सोमवार,s o m v aa r
सोलह,s o l a h
सोशलिस्ट,s o sh a l i s tt
सोसाइटी,s o s aa i tt ii
सोहाग,s o h aa g
सौंदर्य,s O n d a r y a
सौ,s O
सौगंध,s O g a n dh
सौजन्य,s O j a n y a
सौत,s O t
सौतेला,s O t e l aa
सौदा,s O d aa
सौदागर,s O d aa g a r
सौदेबाज़ी,s O d e b aa z ii
सौभाग्य,s O bh aa g y a
सौभाग्यवती,s O bh aa g y a v a t ii
सौभाग्यशाली,s O bh aa g y a sh aa l ii
स्काउट,s k aa u tt
स्कीम,s k ii m
स्क़ूटर,s k uu tt a r
स्कूल,s k uu l
स्कूली,s k uu l ii
स्केटिंग,s k e tt i ng g
स्कोर,s k o r
स्क्रू,s k r uu
स्टांप,s t a m p
स्टाँक,s tt aa k
स्टाप,s tt a p
स्टाफ़,s tt a f
स्टार्ट,s tt aa r tt
स्टाल,s tt aa l
स्टील,s tt ii l
स्टूल,s tt uu l
स्टेज,s tt e j
स्टेशन,s tt e sh a n
स्टेशनरी,s tt e sh n a r ii
स्टोर,s tt o r
स्टोव,s tt o v
स्ट्राइक,s t r aa i k
स्तंभ,s t a m bh
स्तन,s t a n
स्तब्ध,s t a b dh a
स्तर,s t a r
स्तरीय,s t a r ii y
स्तुति,s t u t i
स्त्री,s t r ii
स्थगित,s th a g i t
स्थल,s th a l
स्थान,s th aa n
स्थानीय,s th aa n ii y
स्थापना,s th aa p n aa
स्थापित,s th aa p i t
स्थायी,s th aa y ii
स्थित,s th i t
स्थिति,s th i t i
स्थिर,s th i r
स्थिरता,s th i r t aa
स्थिरीकरण,s th i r ii k a r a n
स्थूल,s th uu l
स्नातक,s n aa t a k
स्नातकोत्तर,s n aa t a k o t t a r
स्नान,s n aa n
स्नानगृह,s n aa n g r i h
स्नेह,s n e h
स्नेहपूर्ण,s n e h p uu r n a
स्नेही,s n e h ii
स्पंज,s p a n j
स्पंदन,s p a n d a n
स्पर्धा,s p a r dh aa
स्पर्श,s p a r sh a
स्पष्ट,s p a sh tt a
स्पष्टतया,s p a sh tt a t a y aa
स्पष्टता,s p a sh tt a t aa
स्पष्टीकरण,s p a sh tt ii k a r a n
स्पिरिट,s p i r i tt
स्पेशल,s p e sh a l
स्प्रिंग,s p r i ng g
स्प्रिंगदार,s p r i n g d aa r
स्फूर्ति,s ph uu r t i
स्फोट,s ph o tt
स्मरण,s m a r a n
स्मारक,s m aa r a k
स्मारिका,s m aa r i k aa
स्मृति,s m r i t i
स्याही,s y aa h ii
स्त्रोत,s r o t
स्लाइड,s l aa i dd
स्लीपर,s l ii p a r
स्लीपर,s l ii p a r
स्लेट,s l e tt
स्लेटी,s l a tt ii
स्व-,s v a 
स्वचालित,s v a c aa l i t
स्वच्छंद,s v a c ch a n d
स्वच्छ,s v a c ch a
स्वच्छता,s v a c ch a t aa
स्वतंत्र,s v a t a n t r a
स्वतंत्रता,s v a t a n t r a t aa
स्वदेशी,s v a d e sh ii
स्वप्न,s v a p n a
स्वभाव,s v a bh aa v
स्वयं,s v a y a m
स्वयंसेवक,s v a y a m s e v a k
स्वर,s v a r
स्वराज्य,s v a r aa j y a
स्वरूप,s v a r uu p
स्वर्ग,s v a r g a
स्वर्गीय,s v a r g ii y a
स्वर्ण,s v a r n a
स्वल्प,s v a l p a
स्वस्थ,s v a s th a
स्वाँग,s v aa ng g
स्वागत,s v aa g a t
स्वाद,s v aa d
स्वादिष्ठ,s v aa d i sh tth a
स्वाधीन,s v aa dh ii n
स्वाधीनता,s v aa dh ii n t aa
स्वाभाविक,s v aa bh aa v i k
स्वाभिमान,s v aa bh i m aa n
स्वाभिमानी,s v aa bh i m aa n ii
स्वामित्व,s v aa m i t v a
स्वामिनी,s v aa m i n ii
स्वामी,s v aa m ii
स्वायत्त,s v aa y a t t a
स्वायत्तता,s v aa y a t t a t aa
स्वार्थ,s v aa r th a
स्वार्थपरायण,s v aa r th a p a r a y a n
स्वावलंबी,s v aa v a l a m b ii
स्वास्थ्य,s v aa s th y a
स्वास्थ्यकर,s v aa s th y a k a r
स्विच,s v i c
स्वीकार,s v ii k aa r
स्वीकारना,s v ii k aa r n aa
स्वीकारात्मक,s v ii k aa r aa t m a k
स्वीकार्य,s v ii k aa r y a
स्वीकृत,s v ii k r i t
स्वीकृति,s v ii k r i t i
स्वेच्छया,s v e c ch a y aa
स्वेटर,s v e tt a r
स्वैच्छिक,s v E c ch i k
हंकार,h a ~ k aa r
हंगामा,h a ng g aa m aa
हंटर,h a n tt a r
हंडा,h a n dd aa
हंडिया,h a n dd i y aa
हंस,h a n s
हँसना,h a ~ s n aa
हँसमुख,h a ~ s m u kh
हँसाना,h a ~ s aa n aa
हँसिया,h a ~ s i y aa
हँसी,h a ~ s ii
हँसी-खुशी,h a ~ s ii x u sh ii
हँसोड़,h a ~ s o rr
हक़,h a q
हक़दार,h a q d aa r
हकला,h a k l aa
हकलाना,h a k l aa n aa
हकलाहट,h a k l aa h a tt
हक़ीक़त,h a q ii q a t
हकीम,h a k ii m
हक्का-बक्का,h a k k aa b a k k aa
हचका,h a c k aa
हज,h a j
हज़म,h a z a m
हजामत,h a j aa m a t
हज़ार,h a z aa r
हजूर,h a z uu r
हटना,h a tt n aa
हटवाना,h a tt v aa n aa
हटाना,h a tt aa n aa
हट्टा-कट्टा,h a tt tt aa k a tt tt aa
हठ,h a tth
हठधर्मी,h a tth dh a r m ii
हठी,h a tth ii
हठीला,h a tth ii l aa
हड़ताल,h a rr t aa l
हड़ताली,h a rr t aa l ii
हड़पना,h a rr a p n aa
हड़बड़ाना,h a rr b a rr aa n aa
हड़बड़ी,h a rr b a rr ii
हड्डी,h a dd dd ii
हताश,h a t aa sh
हत्था,h a t th aa
हत्या,h a t y aa
हत्यारा,h a t y aa r aa
हथ-,h a th 
हथकंडे,h a th k a n dd e
हथकड़ी,h a th k a rr ii
हथगोला,h a th g o l aa
हथियाना,h a th i y aa n aa
हथियार,h a th i y aa r
हथियारबंद,h a th i y aa r b a n d
हथेली,h a th e l ii
हथौड़ा,h a th O rr aa
हद,h a d
हफ़्ता,h a f t aa
हफ़्तावार,h a f t aa v aa r
हफ़्तेवार,h a f t e v aa r
हम,h a m
हम-,h a m 
हमजोली,h a m j o l ii
हमदर्द,h a m d a r d a
हमदर्दी,h a m d a r d ii
हमला,h a m l aa
हमारा,h a m aa r a
हमेशा,h a m e sh aa
हर,h a r
हरगिज़,h a r g i z
हरजाना,h a r j aa n aa
हरा,h a r aa
हराना,h a r aa n aa
हराम,h a r aa m
हरामी,h a r aa m ii
हरिजन,h a r i j a n
हरियाली,h a r i y aa l ii
हरेक,h a r e k
हर्गिज़,h a r g i z
हर्ज,h a r j a
हर्ष,h a r sh a
हर्षित,h a r sh i t
हल,h a l
हल,h a l
हलका,h a l k aa
हलक़ा,h a l q aa
हलका-फुलका,h a l k aa ph u l k aa
हलचल,h a l c a l
हलदी,h a l d ii
